name,description,price,category_name,sku,color,size,price_difference,stock,image_url_1,image_url_2,image_url_3,image_url_4,image_url_5
"Nordic Wool Sweater","Premium wool sweater crafted for Nordic winters with traditional patterns","89.99","Clothing","NWS-RED-S","Red","S","0.00","25","https://images.unsplash.com/photo-1571945153237-4929e783af4a","https://images.unsplash.com/photo-1562157873-818bc0726f68","https://images.unsplash.com/photo-1564584217132-2271339966f5","",""
"Nordic Wool Sweater","Premium wool sweater crafted for Nordic winters with traditional patterns","89.99","Clothing","NWS-RED-M","Red","M","0.00","50","https://images.unsplash.com/photo-1571945153237-4929e783af4a","https://images.unsplash.com/photo-1562157873-818bc0726f68","https://images.unsplash.com/photo-1564584217132-2271339966f5","",""
"Nordic Wool Sweater","Premium wool sweater crafted for Nordic winters with traditional patterns","89.99","Clothing","NWS-RED-L","Red","L","5.00","30","https://images.unsplash.com/photo-1571945153237-4929e783af4a","https://images.unsplash.com/photo-1562157873-818bc0726f68","https://images.unsplash.com/photo-1564584217132-2271339966f5","",""
"Nordic Wool Sweater","Premium wool sweater crafted for Nordic winters with traditional patterns","89.99","Clothing","NWS-BLUE-M","Blue","M","0.00","40","https://images.unsplash.com/photo-1618354691373-d851c5c3a990","https://images.unsplash.com/photo-1581803118522-7b72a50f7e9f","","",""
"Nordic Wool Sweater","Premium wool sweater crafted for Nordic winters with traditional patterns","89.99","Clothing","NWS-BLUE-L","Blue","L","5.00","35","https://images.unsplash.com/photo-1618354691373-d851c5c3a990","https://images.unsplash.com/photo-1581803118522-7b72a50f7e9f","","",""
"Premium Leather Boots","Handcrafted leather boots designed for harsh Nordic weather conditions","149.99","Footwear","PLB-BROWN-40","Brown","40","0.00","20","https://images.unsplash.com/photo-1549298916-b41d501d3772","https://images.unsplash.com/photo-1605812830455-d252d3d13409","https://images.unsplash.com/photo-1578662996442-48f60103fc96","https://images.unsplash.com/photo-1582588678413-dbf45f4823e9",""
"Premium Leather Boots","Handcrafted leather boots designed for harsh Nordic weather conditions","149.99","Footwear","PLB-BROWN-41","Brown","41","0.00","18","https://images.unsplash.com/photo-1549298916-b41d501d3772","https://images.unsplash.com/photo-1605812830455-d252d3d13409","https://images.unsplash.com/photo-1578662996442-48f60103fc96","https://images.unsplash.com/photo-1582588678413-dbf45f4823e9",""
"Premium Leather Boots","Handcrafted leather boots designed for harsh Nordic weather conditions","149.99","Footwear","PLB-BROWN-42","Brown","42","0.00","25","https://images.unsplash.com/photo-1549298916-b41d501d3772","https://images.unsplash.com/photo-1605812830455-d252d3d13409","https://images.unsplash.com/photo-1578662996442-48f60103fc96","https://images.unsplash.com/photo-1582588678413-dbf45f4823e9",""
"Premium Leather Boots","Handcrafted leather boots designed for harsh Nordic weather conditions","149.99","Footwear","PLB-BLACK-40","Black","40","10.00","15","https://images.unsplash.com/photo-1594223274512-ad4803739b7c","https://images.unsplash.com/photo-1606107557195-0e29a4b5b4aa","https://images.unsplash.com/photo-1581053908411-1e5eef4e5051","",""
"Woolen Mittens","Traditional Nordic woolen mittens with intricate patterns","24.99","Accessories","WM-GRAY-OS","Gray","One Size","0.00","100","https://images.unsplash.com/photo-1578662996442-48f60103fc96","https://images.unsplash.com/photo-1611553221425-26a50b854fe9","","",""
"Woolen Mittens","Traditional Nordic woolen mittens with intricate patterns","24.99","Accessories","WM-RED-OS","Red","One Size","0.00","80","https://images.unsplash.com/photo-1571068316344-75bc76f77890","https://images.unsplash.com/photo-1544966503-7cc5ac882d5e","","",""
