name,description,price,category_name,sku,color,size,stock,image_file_1,image_file_2
"Nordic Wool Sweater","Premium wool sweater with traditional Nordic patterns. Perfect for cold weather with excellent insulation and comfort.","89.99","Clothing","NWS-RED-S","Red","S","25","nordic-wool-sweater-red-front.jpg","nordic-wool-sweater-red-back.jpg"
"Nordic Wool Sweater","Premium wool sweater with traditional Nordic patterns. Perfect for cold weather with excellent insulation and comfort.","89.99","Clothing","NWS-RED-M","Red","M","30","nordic-wool-sweater-red-front.jpg","nordic-wool-sweater-red-back.jpg"
"Nordic Wool Sweater","Premium wool sweater with traditional Nordic patterns. Perfect for cold weather with excellent insulation and comfort.","89.99","Clothing","NWS-RED-L","Red","L","20","nordic-wool-sweater-red-front.jpg","nordic-wool-sweater-red-back.jpg"
"Nordic Wool Sweater","Premium wool sweater with traditional Nordic patterns. Perfect for cold weather with excellent insulation and comfort.","89.99","Clothing","NWS-RED-XL","Red","XL","15","nordic-wool-sweater-red-front.jpg","nordic-wool-sweater-red-back.jpg"
"Nordic Wool Sweater","Premium wool sweater with traditional Nordic patterns. Perfect for cold weather with excellent insulation and comfort.","89.99","Clothing","NWS-BLUE-S","Blue","S","28","nordic-wool-sweater-blue-front.jpg","nordic-wool-sweater-blue-back.jpg"
"Nordic Wool Sweater","Premium wool sweater with traditional Nordic patterns. Perfect for cold weather with excellent insulation and comfort.","89.99","Clothing","NWS-BLUE-M","Blue","M","35","nordic-wool-sweater-blue-front.jpg","nordic-wool-sweater-blue-back.jpg"
"Nordic Wool Sweater","Premium wool sweater with traditional Nordic patterns. Perfect for cold weather with excellent insulation and comfort.","89.99","Clothing","NWS-BLUE-L","Blue","L","22","nordic-wool-sweater-blue-front.jpg","nordic-wool-sweater-blue-back.jpg"
"Nordic Wool Sweater","Premium wool sweater with traditional Nordic patterns. Perfect for cold weather with excellent insulation and comfort.","89.99","Clothing","NWS-BLUE-XL","Blue","XL","18","nordic-wool-sweater-blue-front.jpg","nordic-wool-sweater-blue-back.jpg"
"Nordic Wool Sweater","Premium wool sweater with traditional Nordic patterns. Perfect for cold weather with excellent insulation and comfort.","89.99","Clothing","NWS-BLACK-S","Black","S","30","nordic-wool-sweater-black-front.jpg","nordic-wool-sweater-black-back.jpg"
"Nordic Wool Sweater","Premium wool sweater with traditional Nordic patterns. Perfect for cold weather with excellent insulation and comfort.","89.99","Clothing","NWS-BLACK-M","Black","M","40","nordic-wool-sweater-black-front.jpg","nordic-wool-sweater-black-back.jpg"
"Nordic Wool Sweater","Premium wool sweater with traditional Nordic patterns. Perfect for cold weather with excellent insulation and comfort.","89.99","Clothing","NWS-BLACK-L","Black","L","25","nordic-wool-sweater-black-front.jpg","nordic-wool-sweater-black-back.jpg"
"Nordic Wool Sweater","Premium wool sweater with traditional Nordic patterns. Perfect for cold weather with excellent insulation and comfort.","89.99","Clothing","NWS-BLACK-XL","Black","XL","20","nordic-wool-sweater-black-front.jpg","nordic-wool-sweater-black-back.jpg"
"Nordic Wool Sweater","Premium wool sweater with traditional Nordic patterns. Perfect for cold weather with excellent insulation and comfort.","89.99","Clothing","NWS-WHITE-S","White","S","22","nordic-wool-sweater-white-front.jpg","nordic-wool-sweater-white-back.jpg"
"Nordic Wool Sweater","Premium wool sweater with traditional Nordic patterns. Perfect for cold weather with excellent insulation and comfort.","89.99","Clothing","NWS-WHITE-M","White","M","28","nordic-wool-sweater-white-front.jpg","nordic-wool-sweater-white-back.jpg"
"Nordic Wool Sweater","Premium wool sweater with traditional Nordic patterns. Perfect for cold weather with excellent insulation and comfort.","89.99","Clothing","NWS-WHITE-L","White","L","15","nordic-wool-sweater-white-front.jpg","nordic-wool-sweater-white-back.jpg"
"Nordic Wool Sweater","Premium wool sweater with traditional Nordic patterns. Perfect for cold weather with excellent insulation and comfort.","89.99","Clothing","NWS-WHITE-XL","White","XL","12","nordic-wool-sweater-white-front.jpg","nordic-wool-sweater-white-back.jpg"
"Scandinavian Jacket","Waterproof and windproof jacket inspired by Scandinavian design. Features multiple pockets and adjustable hood.","159.99","Jackets","SJ-BLACK-M","Black","M","15","scandinavian-jacket-black-front.jpg","scandinavian-jacket-black-back.jpg"
"Scandinavian Jacket","Waterproof and windproof jacket inspired by Scandinavian design. Features multiple pockets and adjustable hood.","159.99","Jackets","SJ-BLACK-L","Black","L","20","scandinavian-jacket-black-front.jpg","scandinavian-jacket-black-back.jpg"
"Scandinavian Jacket","Waterproof and windproof jacket inspired by Scandinavian design. Features multiple pockets and adjustable hood.","159.99","Jackets","SJ-BLACK-XL","Black","XL","12","scandinavian-jacket-black-front.jpg","scandinavian-jacket-black-back.jpg"
"Scandinavian Jacket","Waterproof and windproof jacket inspired by Scandinavian design. Features multiple pockets and adjustable hood.","159.99","Jackets","SJ-NAVY-M","Navy","M","18","scandinavian-jacket-navy-front.jpg","scandinavian-jacket-navy-back.jpg"
"Scandinavian Jacket","Waterproof and windproof jacket inspired by Scandinavian design. Features multiple pockets and adjustable hood.","159.99","Jackets","SJ-NAVY-L","Navy","L","22","scandinavian-jacket-navy-front.jpg","scandinavian-jacket-navy-back.jpg"
"Scandinavian Jacket","Waterproof and windproof jacket inspired by Scandinavian design. Features multiple pockets and adjustable hood.","159.99","Jackets","SJ-NAVY-XL","Navy","XL","14","scandinavian-jacket-navy-front.jpg","scandinavian-jacket-navy-back.jpg"
"Scandinavian Jacket","Waterproof and windproof jacket inspired by Scandinavian design. Features multiple pockets and adjustable hood.","159.99","Jackets","SJ-BROWN-M","Brown","M","10","scandinavian-jacket-brown-front.jpg","scandinavian-jacket-brown-back.jpg"
"Scandinavian Jacket","Waterproof and windproof jacket inspired by Scandinavian design. Features multiple pockets and adjustable hood.","159.99","Jackets","SJ-BROWN-L","Brown","L","16","scandinavian-jacket-brown-front.jpg","scandinavian-jacket-brown-back.jpg"
"Scandinavian Jacket","Waterproof and windproof jacket inspired by Scandinavian design. Features multiple pockets and adjustable hood.","159.99","Jackets","SJ-BROWN-XL","Brown","XL","8","scandinavian-jacket-brown-front.jpg","scandinavian-jacket-brown-back.jpg"
"Arctic Boots","Insulated winter boots designed for extreme cold conditions. Waterproof leather construction with thermal lining.","199.99","Footwear","AB-BLACK-38","Black","38","5","arctic-boots-black-front.jpg","arctic-boots-black-back.jpg"
"Arctic Boots","Insulated winter boots designed for extreme cold conditions. Waterproof leather construction with thermal lining.","199.99","Footwear","AB-BLACK-39","Black","39","8","arctic-boots-black-front.jpg","arctic-boots-black-back.jpg"
"Arctic Boots","Insulated winter boots designed for extreme cold conditions. Waterproof leather construction with thermal lining.","199.99","Footwear","AB-BLACK-40","Black","40","12","arctic-boots-black-front.jpg","arctic-boots-black-back.jpg"
"Arctic Boots","Insulated winter boots designed for extreme cold conditions. Waterproof leather construction with thermal lining.","199.99","Footwear","AB-BLACK-41","Black","41","15","arctic-boots-black-front.jpg","arctic-boots-black-back.jpg"
"Arctic Boots","Insulated winter boots designed for extreme cold conditions. Waterproof leather construction with thermal lining.","199.99","Footwear","AB-BLACK-42","Black","42","10","arctic-boots-black-front.jpg","arctic-boots-black-back.jpg"
"Arctic Boots","Insulated winter boots designed for extreme cold conditions. Waterproof leather construction with thermal lining.","199.99","Footwear","AB-BLACK-43","Black","43","6","arctic-boots-black-front.jpg","arctic-boots-black-back.jpg"
"Arctic Boots","Insulated winter boots designed for extreme cold conditions. Waterproof leather construction with thermal lining.","199.99","Footwear","AB-BROWN-38","Brown","38","4","arctic-boots-brown-front.jpg","arctic-boots-brown-back.jpg"
"Arctic Boots","Insulated winter boots designed for extreme cold conditions. Waterproof leather construction with thermal lining.","199.99","Footwear","AB-BROWN-39","Brown","39","7","arctic-boots-brown-front.jpg","arctic-boots-brown-back.jpg"
